,X0=0.000,X0=0.053,X0=0.105,X0=0.158,X0=0.211,X0=0.263,X0=0.316,X0=0.368,X0=0.421,X0=0.474,X0=0.526,X0=0.579,X0=0.632,X0=0.684,X0=0.737,X0=0.789,X0=0.842,X0=0.895,X0=0.947,X0=1.000
I0=0.000,0.0,0.0,0.0,0.0,0.0275,0.2025,0.13624999999999998,0.027500000000000004,0.555,0.534375,0.693125,0.88875,0.6575,0.878125,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.053,0.0,0.0,0.0,0.0,0.125,0.136875,0.0,0.28125,0.260625,0.7581249999999999,0.875,0.8831249999999999,0.888125,1.0,1.0,0.8356250000000001,0.940625,1.0,1.0,1.0
I0=0.105,0.0,0.0,0.0,0.125,0.0,0.18125,0.389375,0.411875,0.646875,0.88125,1.0,0.895625,0.890625,0.7875,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.158,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.131875,0.18500000000000003,0.52,0.7418750000000001,0.885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.211,0.0,0.0,0.0,0.0,0.004375,0.005,0.155,0.5075000000000001,0.43,0.7831250000000001,0.784375,1.0,0.771875,0.858125,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.263,0.0,0.0,0.0,0.0,0.25625,0.2725,0.311875,0.43124999999999997,0.26812499999999995,0.546875,0.538125,0.671875,1.0,0.885,1.0,1.0,0.90875,1.0,1.0,1.0
I0=0.316,0.0,0.0,0.0,0.0,0.003125,0.25,1.0,0.5625,0.40750000000000003,0.878125,1.0,1.0,0.88125,1.0,0.956875,1.0,1.0,1.0,1.0,1.0
I0=0.368,0.0,0.0,0.001875,0.125,0.25625,0.265,0.28,0.64,0.6275,0.6693749999999999,0.91125,1.0,0.876875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.421,0.0,0.0,0.0,0.0,0.125,0.295,0.2625,0.515625,0.78625,0.58125,0.7793749999999999,0.899375,0.881875,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.474,0.0,0.0,0.005625,0.00375,0.25,0.25625,0.509375,0.638125,0.68375,0.76875,0.894375,0.92125,0.886875,1.0,1.0,1.0,0.9550000000000001,1.0,1.0,1.0
I0=0.526,0.0,0.0,0.0,0.0,0.255,0.39875,0.5,0.43875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.579,0.0,0.0,0.0025,0.134375,0.0,0.25,0.878125,0.263125,0.51875,0.880625,0.9175,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.632,0.0,0.0,0.0,0.130625,0.385,0.25,0.308125,0.89,0.755625,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.684,0.0,0.0,0.0,0.1325,0.136875,0.011875,0.378125,0.5625,0.875,0.74,1.0,0.875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.737,0.0,0.0,0.125,0.01625,0.125,0.335,0.880625,0.38937499999999997,1.0,0.9981249999999999,1.0,0.796875,1.0,0.94875,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.789,0.0,0.0,0.005625,0.125,0.555,0.625,0.651875,0.628125,0.875,0.7987500000000001,1.0,1.0,1.0,1.0,1.0,0.99625,1.0,1.0,1.0,1.0
I0=0.842,0.0,0.0,0.0025,0.254375,0.1275,0.5025,0.875,0.63625,0.575625,0.9,1.0,1.0,0.885625,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.895,0.0,0.0,0.0,0.003125,0.0,0.14125,0.40874999999999995,0.696875,1.0,0.875,0.9456249999999999,1.0,1.0,0.7893749999999999,1.0,1.0,1.0,1.0,1.0,1.0
I0=0.947,0.0,0.0,0.0,0.011875,0.400625,0.18562499999999998,0.390625,0.8825000000000001,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
I0=1.000,0.0,0.0,0.0,0.136875,0.3925,0.634375,0.505,0.6725,0.759375,1.0,1.0,1.0,0.995,1.0,1.0,1.0,1.0,1.0,1.0,1.0
